gid,teacher,p,r_t,r_s,n,eta,M,seed,ckpt,rho2,L_late,L_V_opt,ratio,cm0,cm_mid,cm_end,mean_end,t_plateau,t_sat,gap_sat,d_mean_plat,d_min_plat,t50,s_band,tau_V_sq,diverged
R1,relu,100,4,50,15000,2.0,50,101,relu_p100_rt4_rs50_n15000_eta2.0_seed101.npz,0.9999995038155193,6.130292890362917,0.0020365168683104035,3010.185177326282,0.0005344993568524304,0.7344880325090685,0.6922847400537949,0.9108898513078049,2120.0,580.0,2787.1291977412207,-0.02040106245808304,-0.09153116621714852,260.0,0.0037500000000000003,0.161316012487728,True
R1,relu,100,4,50,15000,2.0,50,103,relu_p100_rt4_rs50_n15000_eta2.0_seed103.npz,0.9999996390094626,6.0983273651874335,0.0043653786417563335,1396.9755811912523,0.0011215174808103284,0.6463511560195138,0.6224321306169155,0.8915833837147378,2062.0,680.0,1440.122849104929,-0.006642366470621552,-0.04743852426378303,340.0,0.0032142857142857142,0.16115787165997822,True
R1,relu,100,4,50,15000,2.0,50,107,relu_p100_rt4_rs50_n15000_eta2.0_seed107.npz,0.9999997424425386,6.177197296191069,0.0016554155126864926,3731.5086447186895,2.2070575974698112e-05,0.6886006156356144,0.6631014178304939,0.9022690042265419,2094.0,520.0,2737.0485277803105,-0.0160878059898516,-0.07380134093711743,320.0,0.0032142857142857142,0.13787056020299707,True
R1,relu,100,4,50,15000,2.0,50,109,relu_p100_rt4_rs50_n15000_eta2.0_seed109.npz,0.9999995083471295,6.152524666369807,0.0026414432658244014,2329.228397964318,0.0023952375878050444,0.6705052545105984,0.6637083832718338,0.902668677919864,2394.0,920.0,1709.551503895735,-0.004973975720737545,-0.023914550284414582,400.0,0.0025,0.1459273468065965,True
R1,relu,100,4,50,15000,2.0,50,113,relu_p100_rt4_rs50_n15000_eta2.0_seed113.npz,0.9999996585816111,6.175274550185126,0.0036884359076961434,1674.2257977968504,0.0003759192104695492,0.6912971634531082,0.6655806275241293,0.902140497805003,2382.0,800.0,1843.8453504692466,-0.009997089620315425,-0.0517208615296193,360.0,0.0028125,0.1287624361720105,True
R1,relu,100,4,50,15000,2.0,50,127,relu_p100_rt4_rs50_n15000_eta2.0_seed127.npz,0.9999993417007268,6.128032767974276,0.0018945427096561853,3234.570926662492,0.0021390459427384502,0.6679361512420776,0.6439684734628214,0.8951569931868263,2280.0,740.0,2418.159519319656,-0.011242510365804703,-0.047147733447393425,380.0,0.0032142857142857142,0.18738364026152746,True
R1,relu,100,4,50,15000,2.0,50,131,relu_p100_rt4_rs50_n15000_eta2.0_seed131.npz,0.9999994676935878,6.155827919808879,0.001624302929078635,3789.8275066835554,1.5013825531041186e-05,0.6812580413203077,0.6551645402393573,0.8994215049456491,2214.0,620.0,2945.980515169532,-0.00913667781207883,-0.04812791692180285,280.0,0.0028125,0.16534035526937685,True
R1,relu,100,4,50,15000,2.0,50,137,relu_p100_rt4_rs50_n15000_eta2.0_seed137.npz,0.9999997149800487,6.190390968379893,0.0018653273310434444,3318.6620199882313,5.322396900388115e-05,0.6979306609575637,0.694496136750422,0.909113197155898,2218.0,800.0,2581.413712874288,-0.005224911253445708,-0.02150149969593118,400.0,0.0032142857142857142,0.13196582208706828,True
R1,relu,100,4,50,15000,2.0,50,139,relu_p100_rt4_rs50_n15000_eta2.0_seed139.npz,0.9999995919398438,6.118002575036024,0.002082465640234751,2937.864835237501,0.0025303007181003917,0.6736120217921914,0.6407795526728068,0.8984515875852978,1988.0,600.0,2881.7433825281014,-0.016655242253813762,-0.07973099766980563,340.0,0.0032142857142857142,0.11775101510326659,True
R1,relu,100,4,50,15000,2.0,50,149,relu_p100_rt4_rs50_n15000_eta2.0_seed149.npz,0.999999520659956,6.148955522930242,0.001314688214283019,4677.1207470538175,7.33598776682593e-05,0.691113680853912,0.6667373511174595,0.9029678246230314,2178.0,560.0,3155.9312187453584,-0.011605105293775786,-0.06079398131787772,260.0,0.0032142857142857142,0.14553968236454926,True
R1,relu,100,4,50,15000,2.0,50,151,relu_p100_rt4_rs50_n15000_eta2.0_seed151.npz,0.9999995871838611,6.137785657355741,0.002312047695276377,2654.696816979826,1.9122127589018128e-05,0.6885598537911904,0.6627335598664797,0.901170422452047,2362.0,600.0,2488.8977571275286,-0.012369117934748597,-0.05718524243656897,380.0,0.0037500000000000003,0.16462739841305377,True
R1,relu,100,4,50,15000,2.0,50,157,relu_p100_rt4_rs50_n15000_eta2.0_seed157.npz,0.999999561595194,6.155608238964948,0.0014653168823229265,4200.871711248308,0.013610061615057895,0.710274780764175,0.6717626188630335,0.9041435791157088,2136.0,520.0,4070.4886948138483,-0.019784683029365313,-0.08702207629844416,280.0,0.0028125,0.19079350187402214,True
R1,relu,100,4,50,15000,2.0,50,163,relu_p100_rt4_rs50_n15000_eta2.0_seed163.npz,0.9999996851488828,6.183209058905195,0.0018675205512893424,3310.9188836697335,0.0001789196526074475,0.6833168864498019,0.6597480529730243,0.9011909088827882,2286.0,680.0,2876.883182297019,-0.013369711445766708,-0.06291871200224208,280.0,0.0028125,0.1609726876953065,True
R1,relu,100,4,50,15000,2.0,50,167,relu_p100_rt4_rs50_n15000_eta2.0_seed167.npz,0.999999572338545,6.12197475697861,0.0015145998912570306,4041.9749085665944,2.3349203929430024e-05,0.6568525835669835,0.6411005937485175,0.8978005863520098,2108.0,520.0,3048.806162569823,-0.01415050143095753,-0.06392162771094356,340.0,0.0032142857142857142,0.15755942199671233,True
R1,relu,100,4,50,15000,2.0,50,173,relu_p100_rt4_rs50_n15000_eta2.0_seed173.npz,0.9999995588533378,6.0661674907687075,0.001496859348555368,4052.596856627323,0.0015434486508761006,0.6646626458040212,0.6206574245351264,0.8921932934293986,2354.0,580.0,3280.3673574287177,-0.02086423182659547,-0.09082676320791128,380.0,0.0020454545454545456,0.14024801308387402,True
R1,relu,100,4,50,15000,2.0,50,179,relu_p100_rt4_rs50_n15000_eta2.0_seed179.npz,0.9999996900930526,6.156310909213098,0.0021973297302874295,2801.7237578666904,0.006909523846826439,0.6597384668158902,0.6240525785210453,0.8924322000924871,2414.0,640.0,2343.4716753304406,-0.014472468670250316,-0.06806186162605765,260.0,0.0025,0.15513414271714002,True
R1,relu,100,4,50,15000,2.0,50,181,relu_p100_rt4_rs50_n15000_eta2.0_seed181.npz,0.9999995644378974,6.119186895503482,0.001505194433166184,4065.379701565692,0.0003608785767063028,0.6716079177298472,0.6583664694656702,0.9002502214231753,2242.0,700.0,2938.1341073013264,-0.00743330376290674,-0.037179264906724296,320.0,0.0028125,0.1569115954005161,True
R1,relu,100,4,50,15000,2.0,50,191,relu_p100_rt4_rs50_n15000_eta2.0_seed191.npz,0.9999994754252148,6.132079794841441,0.0034214441848859746,1792.2489637357046,0.002365648015224689,0.6403415620834007,0.619163153829972,0.8907960999938045,2040.0,640.0,1682.2296276182537,-0.006417835331306243,-0.04085815840261753,320.0,0.0032142857142857142,0.1640025394653195,True
R1,relu,100,4,50,15000,2.0,50,193,relu_p100_rt4_rs50_n15000_eta2.0_seed193.npz,0.9999993700870915,6.141671510197682,0.0020948661093830073,2931.7728148299484,0.003323392591985788,0.7154762378539202,0.6785367147325833,0.9064310684831487,2188.0,520.0,2363.5235506095164,-0.01692411990706899,-0.07517583119940141,360.0,0.0028125,0.12862063108798583,True
R1,relu,100,4,50,15000,2.0,50,197,relu_p100_rt4_rs50_n15000_eta2.0_seed197.npz,0.9999994898738538,6.096048397525769,0.002355800632494515,2587.6758472005217,0.00026332525607786493,0.6758083740427332,0.6414173494584785,0.8980579979758019,2112.0,560.0,1889.4689271334178,-0.019148335400997807,-0.08665233417834628,300.0,0.0025,0.13997719468423936,True
R1,relu,100,4,50,15000,2.0,50,199,relu_p100_rt4_rs50_n15000_eta2.0_seed199.npz,0.9999992459485576,6.167722975165833,0.001828916142862242,3372.3377636731807,9.07519174648417e-05,0.721016554926631,0.6972442453165288,0.9104363836254653,2374.0,640.0,3124.2805043792687,-0.013266196151242471,-0.0573333680392385,340.0,0.0032142857142857142,0.1385713445776479,True
R1,relu,100,4,50,15000,2.0,50,211,relu_p100_rt4_rs50_n15000_eta2.0_seed211.npz,0.9999996447761328,6.169960948109015,0.0036937245495834996,1670.3901076772856,0.0010730661655645366,0.6778528466161089,0.6729318075869137,0.9034093914885437,2168.0,940.0,1624.660972691597,-0.0015604910236377556,-0.021484897147642235,340.0,0.0022500000000000003,0.15393596412009192,True
R1,relu,100,4,50,15000,2.0,50,223,relu_p100_rt4_rs50_n15000_eta2.0_seed223.npz,0.9999995617083437,6.1244673086976835,0.0016152707747575173,3791.6041102254712,0.0005850308734890243,0.6762277532738269,0.6396079595011283,0.8940174293497966,2668.0,660.0,3449.901012723898,-0.01645312140083577,-0.06574422911783362,320.0,0.0032142857142857142,0.16435060080635652,True
R1,relu,100,4,50,15000,2.0,50,227,relu_p100_rt4_rs50_n15000_eta2.0_seed227.npz,0.9999997199259965,6.120882038906637,0.0014912580451654509,4104.508980689216,0.001988782238301444,0.6894204067773166,0.6686317099857256,0.9045869639447485,2032.0,560.0,3048.3861717948803,-0.014679474861274855,-0.07070246844769312,360.0,0.0028125,0.1681368550114288,True
R1,relu,100,4,50,15000,2.0,50,229,relu_p100_rt4_rs50_n15000_eta2.0_seed229.npz,0.9999997328392876,6.208255730609691,0.0026496213790597857,2343.072780010811,8.182689226474118e-06,0.691489199509724,0.6577155794387689,0.9002668151406313,2174.0,560.0,1713.1222709853082,-0.015684276461740754,-0.06963676091824123,320.0,0.0022500000000000003,0.1699874059463665,True
R1,relu,100,4,50,15000,2.0,50,233,relu_p100_rt4_rs50_n15000_eta2.0_seed233.npz,0.999999601970267,6.123141635706473,0.002452508053638119,2496.685638452128,0.006014048289611772,0.654453167276202,0.6264207508196719,0.8924049660399334,2096.0,620.0,2717.304916384779,-0.013547052508232738,-0.06875258136778128,360.0,0.0037500000000000003,0.17046762900223414,True
R1,relu,100,4,50,15000,2.0,50,239,relu_p100_rt4_rs50_n15000_eta2.0_seed239.npz,0.9999995152172785,6.1676143691906935,0.001635395044033419,3771.329986410708,0.002654572864302859,0.6675280531444431,0.6314241506534567,0.895347735254127,1890.0,420.0,3310.539051570612,-0.020507935396121058,-0.09545777661297328,300.0,0.0032142857142857142,0.14292845449162297,True
R1,relu,100,4,50,15000,2.0,50,241,relu_p100_rt4_rs50_n15000_eta2.0_seed241.npz,0.9999997822294622,6.168552283586261,0.0026807909270770524,2301.019531691724,0.0012024680901025608,0.6537177678177005,0.6268280169740437,0.8909118510688183,2066.0,580.0,2074.5066656444774,-0.016161605796737533,-0.07069851902701407,300.0,0.0025,0.14986350422912964,True
R1,relu,100,4,50,15000,2.0,50,251,relu_p100_rt4_rs50_n15000_eta2.0_seed251.npz,0.9999996658271071,6.072248661948124,0.0021231020974526015,2860.08320995674,0.005630551767721569,0.6443328137075284,0.6208795393637502,0.8917902366479165,2354.0,680.0,2590.577396596999,-0.016820976141985966,-0.0749466470138207,360.0,0.0032142857142857142,0.15577136410163014,True
R1,relu,100,4,50,15000,2.0,50,257,relu_p100_rt4_rs50_n15000_eta2.0_seed257.npz,0.9999994610568838,6.128150363556735,0.0017418338386312887,3518.217540412557,0.001410323784899476,0.7151214463836911,0.6676614923552722,0.9046015841537605,2178.0,560.0,3031.299203709527,-0.02106408931594883,-0.09388836743711337,300.0,0.0020454545454545456,0.14217849424053686,True
R1,relu,100,4,50,15000,2.0,50,263,relu_p100_rt4_rs50_n15000_eta2.0_seed263.npz,0.999999306254898,6.1752459114732785,0.0018846628168974768,3276.5786304623657,7.153956052705452e-06,0.7280816315921669,0.697401869332114,0.909865730092756,2010.0,460.0,3166.470059395877,-0.021013257426767185,-0.0891075951977851,260.0,0.0028125,0.16118262159660426,True
