seed,window,start,end,loss_change,mean_even_start,mean_even_end,mean_even_gain,mean_odd_start,mean_odd_end,mean_odd_gain,mean_phaseavg_start,mean_phaseavg_end,mean_phaseavg_gain,min_even_start,min_even_end,min_even_gain,min_odd_start,min_odd_end,min_odd_gain,min_phaseavg_start,min_phaseavg_end,min_phaseavg_gain,rho2,r2
5,60_240,60,240,-0.03787297441333788,0.7203380465507507,0.878960371017456,0.15862232446670532,0.6458023190498352,0.8279061317443848,0.18210381269454956,0.683070182800293,0.8534332513809204,0.17036306858062744,0.43395596742630005,0.8019508123397827,0.36799484491348267,0.30865663290023804,0.7158598303794861,0.40720319747924805,0.37130630016326904,0.7589053213596344,0.38759902119636536,0.9999827982240899,0.17217682757693653
11,60_240,60,240,-0.04115708264794445,0.529477059841156,0.705781877040863,0.17630481719970703,0.4694649875164032,0.6392273306846619,0.16976234316825867,0.4994710236787796,0.6725046038627625,0.17303358018398285,0.002259147586300969,0.16309189796447754,0.16083275037817657,0.0005671785329468548,0.05336670204997063,0.05279952351702377,0.001413163059623912,0.10822930000722408,0.10681613694760017,0.999975122293566,0.18293414740068573
23,60_240,60,240,-0.04086950693829104,0.6383405327796936,0.8524572253227234,0.21411669254302979,0.5827435851097107,0.7889171242713928,0.20617353916168213,0.6105420589447021,0.8206871747970581,0.21014511585235596,0.17285926640033722,0.7069054245948792,0.5340461581945419,0.12063255906105042,0.5867030620574951,0.4660705029964447,0.14674591273069382,0.6468042433261871,0.5000583305954933,0.9999709540891571,0.1728554165221498
37,60_240,60,240,-0.04744906724694678,0.6783159971237183,0.8745512962341309,0.1962352991104126,0.6051784157752991,0.8356838226318359,0.23050540685653687,0.6417472064495087,0.8551175594329834,0.21337035298347473,0.3030473291873932,0.7416853904724121,0.4386380612850189,0.1772216260433197,0.6901816129684448,0.5129599869251251,0.24013447761535645,0.7159335017204285,0.475799024105072,0.9999865139844861,0.1881082914431104
41,60_240,60,240,-0.04956295759019364,0.6312536001205444,0.8025278449058533,0.17127424478530884,0.5579858422279358,0.7247662544250488,0.16678041219711304,0.5946197211742401,0.763647049665451,0.16902732849121094,0.1963541954755783,0.5528647303581238,0.35651053488254547,0.16906386613845825,0.4018495976924896,0.23278573155403137,0.18270903080701828,0.4773571640253067,0.2946481332182884,0.9999718008474623,0.18196573921866707
5,240_400,240,400,-0.05583630520694398,0.878960371017456,0.9026762247085571,0.023715853691101074,0.8279061317443848,0.8630020618438721,0.035095930099487305,0.8534332513809204,0.8828391432762146,0.02940589189529419,0.8019508123397827,0.8506812453269958,0.048730432987213135,0.7158598303794861,0.7687609195709229,0.05290108919143677,0.7589053213596344,0.8097210824489594,0.05081576108932495,0.9999819185368416,0.18575510673603174
11,240_400,240,400,-0.05134140638377931,0.705781877040863,0.8410917520523071,0.1353098750114441,0.6392273306846619,0.7617840766906738,0.12255674600601196,0.6725046038627625,0.8014379143714905,0.12893331050872803,0.16309189796447754,0.6525360941886902,0.48944419622421265,0.05336670204997063,0.4575113356113434,0.40414463356137276,0.10822930000722408,0.5550237149000168,0.4467944148927927,0.9999894779987302,0.19167060599184285
23,240_400,240,400,-0.05608672183281275,0.8524572253227234,0.8970471620559692,0.04458993673324585,0.7889171242713928,0.8470202684402466,0.05810314416885376,0.8206871747970581,0.8720337152481079,0.051346540451049805,0.7069054245948792,0.8272081613540649,0.12030273675918579,0.5867030620574951,0.725401759147644,0.13869869709014893,0.6468042433261871,0.7763049602508545,0.12950071692466736,0.9999800041209643,0.18840329822107718
37,240_400,240,400,-0.052246095535298825,0.8745512962341309,0.9116643667221069,0.037113070487976074,0.8356838226318359,0.8805115818977356,0.04482775926589966,0.8551175594329834,0.8960879743099213,0.040970414876937866,0.7416853904724121,0.8490818738937378,0.10739648342132568,0.6901816129684448,0.778792142868042,0.08861052989959717,0.7159335017204285,0.8139370083808899,0.09800350666046143,0.9999900609887741,0.1966960272832829
41,240_400,240,400,-0.03932303399761553,0.8025278449058533,0.8572045564651489,0.054676711559295654,0.7247662544250488,0.8006073236465454,0.07584106922149658,0.763647049665451,0.8289059400558472,0.06525889039039612,0.5528647303581238,0.7208294868469238,0.16796475648880005,0.4018495976924896,0.6252806782722473,0.2234310805797577,0.4773571640253067,0.6730550825595856,0.19569791853427887,0.9999817720397473,0.195859041038894
