seed,window,start,end,loss_change,mean_even_start,mean_even_end,mean_even_gain,mean_odd_start,mean_odd_end,mean_odd_gain,mean_phaseavg_start,mean_phaseavg_end,mean_phaseavg_gain,min_even_start,min_even_end,min_even_gain,min_odd_start,min_odd_end,min_odd_gain,min_phaseavg_start,min_phaseavg_end,min_phaseavg_gain,rho2,r2
5,60_240,60,240,-0.11073689428658176,0.7205286026000977,0.898594856262207,0.17806625366210938,0.6505596041679382,0.8429223895072937,0.19236278533935547,0.6855441033840179,0.8707586228847504,0.18521451950073242,0.4952130913734436,0.8652229905128479,0.3700098991394043,0.3673155605792999,0.7279527187347412,0.3606371581554413,0.43126432597637177,0.7965878546237946,0.3653235286474228,0.9999835089026748,0.20361077927494614
11,60_240,60,240,-0.07522617698786077,0.5550678968429565,0.8280134797096252,0.2729455828666687,0.4154813289642334,0.6938881278038025,0.2784067988395691,0.48527461290359497,0.7609508037567139,0.2756761908531189,0.0010663580615073442,0.6558573842048645,0.6547910261433572,0.0006108470261096954,0.2991971969604492,0.2985863499343395,0.0008386025438085198,0.47752729058265686,0.47668868803884834,0.9999785270587116,0.20498636802423342
23,60_240,60,240,-0.094620518617935,0.6261700391769409,0.871792197227478,0.2456221580505371,0.5757928490638733,0.8198037147521973,0.24401086568832397,0.6009814441204071,0.8457979559898376,0.24481651186943054,0.15322263538837433,0.7706133723258972,0.6173907369375229,0.12982648611068726,0.6593059301376343,0.529479444026947,0.1415245607495308,0.7149596512317657,0.573435090482235,0.9999888896524943,0.19259139249998442
37,60_240,60,240,-0.08907585728114893,0.7081233859062195,0.8877375721931458,0.17961418628692627,0.513948917388916,0.8324037790298462,0.3184548616409302,0.6110361516475677,0.860070675611496,0.24903452396392822,0.3443519175052643,0.8113871216773987,0.4670352041721344,0.04762323945760727,0.6982887387275696,0.6506654992699623,0.19598757848143578,0.7548379302024841,0.5588503517210484,0.9999870919776407,0.19921262948775398
41,60_240,60,240,-0.07306783535982875,0.6186549067497253,0.8272410035133362,0.20858609676361084,0.5087234973907471,0.7565810084342957,0.24785751104354858,0.5636892020702362,0.7919110059738159,0.2282218039035797,0.2653939127922058,0.715704619884491,0.45031070709228516,0.25218287110328674,0.6106860637664795,0.35850319266319275,0.2587883919477463,0.6631953418254852,0.40440694987773895,0.9999859709661283,0.18758005267176042
5,240_400,240,400,-0.056518225600343114,0.898594856262207,0.9103599786758423,0.011765122413635254,0.8429223895072937,0.8613388538360596,0.01841646432876587,0.8707586228847504,0.8858494162559509,0.015090793371200562,0.8652229905128479,0.8525854349136353,-0.012637555599212646,0.7279527187347412,0.7126762866973877,-0.015276432037353516,0.7965878546237946,0.7826308608055115,-0.013956993818283081,0.9999871638515875,0.20747258220785783
11,240_400,240,400,-0.07968575516240642,0.8280134797096252,0.8789954781532288,0.050981998443603516,0.6938881278038025,0.8203498125076294,0.1264616847038269,0.7609508037567139,0.8496726453304291,0.08872184157371521,0.6558573842048645,0.7614242434501648,0.10556685924530029,0.2991971969604492,0.593479573726654,0.29428237676620483,0.47752729058265686,0.6774519085884094,0.19992461800575256,0.9999889446771718,0.20169760750901689
23,240_400,240,400,-0.08212760910977936,0.871792197227478,0.8985435962677002,0.026751399040222168,0.8198037147521973,0.8551371693611145,0.035333454608917236,0.8457979559898376,0.8768403828144073,0.031042426824569702,0.7706133723258972,0.8174892663955688,0.04687589406967163,0.6593059301376343,0.680281400680542,0.020975470542907715,0.7149596512317657,0.7488853335380554,0.03392568230628967,0.9999887165577673,0.20527193397713484
37,240_400,240,400,-0.06482313222759938,0.8877375721931458,0.9005779027938843,0.012840330600738525,0.8324037790298462,0.8574546575546265,0.025050878524780273,0.860070675611496,0.8790162801742554,0.0189456045627594,0.8113871216773987,0.8223272562026978,0.010940134525299072,0.6982887387275696,0.6800776720046997,-0.018211066722869873,0.7548379302024841,0.7512024641036987,-0.0036354660987854004,0.9999890952523842,0.2055317692807489
41,240_400,240,400,-0.07357665957288406,0.8272410035133362,0.8765392303466797,0.049298226833343506,0.7565810084342957,0.8292227387428284,0.07264173030853271,0.7919110059738159,0.852880984544754,0.06096997857093811,0.715704619884491,0.7918545007705688,0.07614988088607788,0.6106860637664795,0.6636438369750977,0.052957773208618164,0.6631953418254852,0.7277491688728333,0.06455382704734802,0.9999875533980243,0.19284284062369925
