group,window,start,end,n_seeds,median_loss_change,loss_change_ci_low,loss_change_ci_high,median_mean_even_start,mean_even_start_ci_low,mean_even_start_ci_high,median_mean_even_end,mean_even_end_ci_low,mean_even_end_ci_high,median_mean_even_gain,mean_even_gain_ci_low,mean_even_gain_ci_high,median_mean_odd_start,mean_odd_start_ci_low,mean_odd_start_ci_high,median_mean_odd_end,mean_odd_end_ci_low,mean_odd_end_ci_high,median_mean_odd_gain,mean_odd_gain_ci_low,mean_odd_gain_ci_high,median_mean_phaseavg_start,mean_phaseavg_start_ci_low,mean_phaseavg_start_ci_high,median_mean_phaseavg_end,mean_phaseavg_end_ci_low,mean_phaseavg_end_ci_high,median_mean_phaseavg_gain,mean_phaseavg_gain_ci_low,mean_phaseavg_gain_ci_high,median_min_even_start,min_even_start_ci_low,min_even_start_ci_high,median_min_even_end,min_even_end_ci_low,min_even_end_ci_high,median_min_even_gain,min_even_gain_ci_low,min_even_gain_ci_high,median_min_odd_start,min_odd_start_ci_low,min_odd_start_ci_high,median_min_odd_end,min_odd_end_ci_low,min_odd_end_ci_high,median_min_odd_gain,min_odd_gain_ci_low,min_odd_gain_ci_high,median_min_phaseavg_start,min_phaseavg_start_ci_low,min_phaseavg_start_ci_high,median_min_phaseavg_end,min_phaseavg_end_ci_low,min_phaseavg_end_ci_high,median_min_phaseavg_gain,min_phaseavg_gain_ci_low,min_phaseavg_gain_ci_high,median_rho2,rho2_ci_low,rho2_ci_high,median_r2,r2_ci_low,r2_ci_high,positive_mean_even_seeds,positive_mean_odd_seeds,positive_min_even_seeds,positive_min_odd_seeds,loss_within_5pct_seeds
confirmation,60_240,60,240,30,-0.09123068770163671,-0.09509340532685849,-0.08404144472360639,0.6438880264759064,0.5906458795070648,0.6687796413898468,0.8623679280281067,0.8542084693908691,0.8685238659381866,0.23174825310707092,0.19391730427742004,0.27111026644706726,0.5575225055217743,0.49653901159763336,0.5849905610084534,0.7934074699878693,0.7711336016654968,0.8010415136814117,0.24144622683525085,0.205250084400177,0.2656499147415161,0.5946880877017975,0.5384840294718742,0.6242026835680008,0.8253942579030991,0.8041485249996185,0.8346026688814163,0.22872141003608704,0.1938648670911789,0.2738874703645706,0.12448146566748619,0.05767652206122875,0.3202210068702698,0.761777400970459,0.725458949804306,0.7846339344978333,0.5843523424118757,0.4423445016145706,0.6593881502997192,0.08165919780731201,0.031159079633653164,0.22309790551662445,0.549480676651001,0.5277582406997681,0.6438325941562653,0.362357422709465,0.3069273270666599,0.4900754119735211,0.1074293851852417,0.04342043097130954,0.2672889195382595,0.6572587192058563,0.602815717458725,0.7118470370769501,0.43541264918167144,0.38435521721839905,0.5628191741998307,0.9999846589195249,0.9999840653145293,0.9999858951510773,0.19751376167809354,0.1953788575743445,0.19955196639517958,30,30,30,30,0
confirmation,240_400,240,400,30,-0.06518658509277092,-0.06800183358442158,-0.06068468629193775,0.8623679280281067,0.8544742465019226,0.8685238659381866,0.8841450214385986,0.8796994984149933,0.8944096267223358,0.023657679557800293,0.017967909574508667,0.029566794633865356,0.7934074699878693,0.7711336016654968,0.8010415136814117,0.8308393955230713,0.82157102227211,0.8381538093090057,0.0382293164730072,0.028403937816619873,0.06098741292953491,0.8253942579030991,0.8041485249996185,0.8346026688814163,0.855810284614563,0.8508501350879669,0.8671265244483948,0.03253687918186188,0.02219778299331665,0.047107383608818054,0.761777400970459,0.725458949804306,0.7846339344978333,0.8021174073219299,0.7752208411693573,0.814391553401947,0.037179023027420044,0.01003110408782959,0.06029006838798523,0.549480676651001,0.5277582406997681,0.6438325941562653,0.622436910867691,0.5997399985790253,0.6620392501354218,0.022447139024734497,-0.007473200559616089,0.07787322998046875,0.6572587192058563,0.602815717458725,0.7118470370769501,0.7163933664560318,0.6867192983627319,0.7384510636329651,0.03661847114562988,0.004192814230918884,0.08546391129493713,0.999989593999607,0.9999874754756441,0.9999900374042563,0.20247445616643805,0.20082318690170445,0.20478777019567918,29,30,23,19,0
confirmation,400_700,400,700,30,-0.07792054726131671,-0.08217987600979795,-0.07443949523228953,0.8841450214385986,0.8796994984149933,0.8944096267223358,0.8921672999858856,0.8848496675491333,0.8973839581012726,0.0026183128356933594,0.0010304450988769531,0.0075744688510894775,0.8308393955230713,0.82157102227211,0.8381538093090057,0.8453436493873596,0.8310408592224121,0.85195392370224,0.008495450019836426,0.003232717514038086,0.01570066809654236,0.855810284614563,0.8508501350879669,0.8671265244483948,0.8687554746866226,0.8575409054756165,0.8749404847621918,0.008073031902313232,0.0023548752069473267,0.010957658290863037,0.8021174073219299,0.7752208411693573,0.814391553401947,0.7825439870357513,0.7569056749343872,0.7886734306812286,-0.02966412901878357,-0.03852498531341553,-0.007831454277038574,0.622436910867691,0.5997399985790253,0.6620392501354218,0.5938604474067688,0.5675008296966553,0.6201662719249725,-0.03401416540145874,-0.05536240339279175,-0.014994755387306213,0.7163933664560318,0.6867192983627319,0.7345536202192307,0.6875555366277695,0.6641972959041595,0.7067025303840637,-0.023079127073287964,-0.04837973415851593,-0.006383806467056274,0.9999884378699698,0.9999875854309926,0.999988899872541,0.20594734213373955,0.2028476012951247,0.20792117577013303,21,24,8,9,0
confirmation,700_1000,700,1000,30,-0.043347652026721056,-0.046070502038386245,-0.037140422215323,0.8921672999858856,0.8848496675491333,0.8973839581012726,0.8836230039596558,0.8782340288162231,0.8861616849899292,-0.010126829147338867,-0.01130521297454834,-0.007687240839004517,0.8453436493873596,0.8310408592224121,0.85195392370224,0.8354699015617371,0.8308925032615662,0.8404538035392761,-0.00996088981628418,-0.011394351720809937,-0.005700528621673584,0.8687554746866226,0.8575409054756165,0.8749404847621918,0.8586506098508835,0.8539370149374008,0.8639345765113831,-0.009949803352355957,-0.011179432272911072,-0.00847296416759491,0.7825439870357513,0.7569056749343872,0.7886734306812286,0.7459851801395416,0.7348661720752716,0.7586192488670349,-0.030328422784805298,-0.035530149936676025,-0.019122958183288574,0.5938604474067688,0.5675008296966553,0.6201662719249725,0.555750846862793,0.5470775961875916,0.5733925104141235,-0.03893333673477173,-0.04799327254295349,-0.02671760320663452,0.6875555366277695,0.6641972959041595,0.7067025303840637,0.6516461670398712,0.6426944136619568,0.6647952347993851,-0.0349496454000473,-0.04217672348022461,-0.023741453886032104,0.9999873876914593,0.9999863146725524,0.9999879036062487,0.2049910779342381,0.20402619385068316,0.2057362006945262,2,7,1,4,23
confirmation,1000_1200,1000,1200,30,-0.0196075059945875,-0.02266558508518296,-0.014938478530512306,0.8836230039596558,0.8782340288162231,0.8861616849899292,0.8746362626552582,0.87079918384552,0.8781586289405823,-0.0076913535594940186,-0.009701430797576904,-0.006127208471298218,0.8354699015617371,0.8308925032615662,0.8404538035392761,0.8281735181808472,0.8250085413455963,0.8314229846000671,-0.007895290851593018,-0.008531540632247925,-0.006919801235198975,0.8586506098508835,0.8539370149374008,0.8639532178640366,0.8515787273645401,0.8483104407787323,0.8544145822525024,-0.008205786347389221,-0.008998870849609375,-0.0066594332456588745,0.7459851801395416,0.7348661720752716,0.7586192488670349,0.7313413023948669,0.7196897566318512,0.7398740649223328,-0.02119383215904236,-0.024551719427108765,-0.010282963514328003,0.555750846862793,0.5470775961875916,0.5733925104141235,0.5428009331226349,0.5344952046871185,0.5527408421039581,-0.01640757918357849,-0.023478776216506958,-0.012987345457077026,0.6516461670398712,0.6426944136619568,0.6647952347993851,0.6360657960176468,0.6292576193809509,0.6450919508934021,-0.021223515272140503,-0.02418750524520874,-0.011875629425048828,0.9999877076067161,0.9999867399257862,0.9999881835366097,0.20448728615111972,0.20336345960678076,0.20589910696428798,1,2,3,4,30
confirmation,1200_1490,1200,1490,30,-0.013969915002165968,-0.016518585748941817,-0.009376900575812913,0.8746362626552582,0.87079918384552,0.8781586289405823,0.8573384582996368,0.8541645705699921,0.8616558611392975,-0.015837877988815308,-0.020037740468978882,-0.01323053240776062,0.8281735181808472,0.8250085413455963,0.8314229846000671,0.8094781339168549,0.8070485591888428,0.813905656337738,-0.016841411590576172,-0.01975056529045105,-0.012823820114135742,0.8515787273645401,0.8483104407787323,0.8544145822525024,0.8335537910461426,0.8298272639513016,0.8379971086978912,-0.01795142889022827,-0.02008211612701416,-0.012688204646110535,0.7313413023948669,0.7196897566318512,0.7398740649223328,0.7023153603076935,0.6934613585472107,0.7123386859893799,-0.022466987371444702,-0.03182461857795715,-0.015477299690246582,0.5428009331226349,0.5344952046871185,0.5527408421039581,0.5213049054145813,0.5034164488315582,0.5278723239898682,-0.02486547827720642,-0.028614073991775513,-0.016027987003326416,0.6360657960176468,0.6292576193809509,0.6450919508934021,0.6104491204023361,0.5989418402314186,0.6193750202655792,-0.023817166686058044,-0.029947087168693542,-0.01703391969203949,0.9999871367635811,0.9999866761994802,0.9999877750964362,0.2045655173801584,0.20363166575657562,0.2061201126207171,0,1,3,3,30
confirmation,60_400,60,400,30,-0.15049595443357652,-0.153658741138183,-0.14733864319270124,0.6438880264759064,0.5906458795070648,0.6687796413898468,0.8841450214385986,0.8796994984149933,0.8944096267223358,0.25569915771484375,0.2241286337375641,0.29602184891700745,0.5575225055217743,0.49653901159763336,0.5849905610084534,0.8308393955230713,0.82157102227211,0.8406928181648254,0.27360469102859497,0.25608548521995544,0.3328903317451477,0.5946880877017975,0.5384840294718742,0.6242026835680008,0.855810284614563,0.8508501350879669,0.8671265244483948,0.2729312628507614,0.2399505078792572,0.3228001520037651,0.12448146566748619,0.05767652206122875,0.3202210068702698,0.8021174073219299,0.7752208411693573,0.814391553401947,0.690260760486126,0.4712044894695282,0.7093960605561733,0.08165919780731201,0.031159079633653164,0.22309790551662445,0.622436910867691,0.5969901978969574,0.6620392501354218,0.5122452939394861,0.38972417265176773,0.5931944965850562,0.1074293851852417,0.04342043097130954,0.2672889195382595,0.7163933664560318,0.6867192983627319,0.7345536202192307,0.6034258785657585,0.43522071838378906,0.6513602979830466,0.9999867483375655,0.9999855994378613,0.999987400368022,0.20247445616643805,0.2011750372641285,0.20478777019567918,30,30,30,30,0
confirmation,60_700,60,700,30,-0.21612165751185416,-0.22077275833750903,-0.21106489523726962,0.6438880264759064,0.5906458795070648,0.6687796413898468,0.8921672999858856,0.8848496675491333,0.8973839581012726,0.2581500709056854,0.22179961204528809,0.29389065504074097,0.5575225055217743,0.49653901159763336,0.5849905610084534,0.8453436493873596,0.8310408592224121,0.85195392370224,0.28608834743499756,0.25704872608184814,0.35424795746803284,0.5946880877017975,0.5384840294718742,0.6242026835680008,0.8687554746866226,0.8575409054756165,0.8749404847621918,0.28277769684791565,0.23887190222740173,0.32825564593076706,0.12448146566748619,0.05767652206122875,0.3202210068702698,0.7825439870357513,0.7569056749343872,0.7886734306812286,0.6614404693245888,0.4334997683763504,0.7062861307058483,0.08165919780731201,0.031159079633653164,0.22309790551662445,0.5938604474067688,0.5675008296966553,0.6201662719249725,0.49920942075550556,0.33019863069057465,0.552703257650137,0.1074293851852417,0.04342043097130954,0.2672889195382595,0.6875555366277695,0.6641972959041595,0.7067025303840637,0.5892846074793852,0.3812108635902405,0.6181575022637844,0.9999870591268227,0.9999865790093334,0.9999875890361671,0.20654079089437763,0.2028476012951247,0.20792117577013303,30,30,30,30,0
confirmation,60_1000,60,1000,30,-0.2484613018490638,-0.2536951766433957,-0.24516136699744884,0.6438880264759064,0.5906458795070648,0.6687796413898468,0.8836230039596558,0.8782340288162231,0.8861616849899292,0.24494624137878418,0.2141294777393341,0.2836293876171112,0.5575225055217743,0.49653901159763336,0.5849905610084534,0.8354699015617371,0.830873416364193,0.8404538035392761,0.27095600962638855,0.24821177124977112,0.3458421975374222,0.5946880877017975,0.5384840294718742,0.6242026835680008,0.8586506098508835,0.8539370149374008,0.8639345765113831,0.26564033329486847,0.22986336052417755,0.32292744517326355,0.12448146566748619,0.05767652206122875,0.3202210068702698,0.7459851801395416,0.7348661720752716,0.7586192488670349,0.630306176841259,0.42184633016586304,0.6787204314023256,0.08165919780731201,0.031159079633653164,0.22309790551662445,0.555750846862793,0.5470775961875916,0.5733925104141235,0.4845306286588311,0.3115890845656395,0.5102232772205753,0.1074293851852417,0.04342043097130954,0.2672889195382595,0.6516461670398712,0.6426944136619568,0.6647952347993851,0.5580648090690374,0.3705453909933567,0.5942178108962253,0.9999871184281135,0.9999866126340572,0.9999875670981315,0.20730187177357362,0.20550118424226954,0.2087039656289113,30,30,30,30,0
confirmation,60_1490,60,1490,30,-0.2713104370485342,-0.2763667775060948,-0.26695404931973354,0.6438880264759064,0.5906458795070648,0.6687796413898468,0.8573384582996368,0.8541645705699921,0.8616558611392975,0.2251194715499878,0.18945714831352234,0.27036312222480774,0.5575225055217743,0.49653901159763336,0.5849905610084534,0.8094781339168549,0.8071800172328949,0.813905656337738,0.2479742169380188,0.21944472193717957,0.31715427339076996,0.5946880877017975,0.5384840294718742,0.6242026835680008,0.8335537910461426,0.8298272639513016,0.8379971086978912,0.24375927448272705,0.2060198038816452,0.292459212243557,0.12448146566748619,0.05767652206122875,0.3202210068702698,0.7023153603076935,0.6934613585472107,0.7117621600627899,0.5777005665004253,0.36309194564819336,0.6360096987336874,0.08165919780731201,0.031159079633653164,0.22309790551662445,0.5213049054145813,0.5034164488315582,0.5278723239898682,0.43887394573539495,0.3041907772421837,0.4706481423927471,0.1074293851852417,0.04342043097130954,0.2672889195382595,0.6104491204023361,0.5989418402314186,0.6183868199586868,0.5095848571509123,0.3463437668979168,0.5573618341586553,0.999987064507365,0.9999867444832192,0.9999872434277635,0.20767342607451755,0.2062256396479794,0.20928739751233127,30,30,30,30,0
