seed,window,start,end,loss_change,mean_even_start,mean_even_end,mean_even_gain,mean_odd_start,mean_odd_end,mean_odd_gain,mean_phaseavg_start,mean_phaseavg_end,mean_phaseavg_gain,min_even_start,min_even_end,min_even_gain,min_odd_start,min_odd_end,min_odd_gain,min_phaseavg_start,min_phaseavg_end,min_phaseavg_gain,rho2,r2
5,60_240,60,240,-0.03777554921277535,0.7100732326507568,0.8749794363975525,0.16490620374679565,0.634174644947052,0.8304962515830994,0.19632160663604736,0.6721239387989044,0.8527378439903259,0.1806139051914215,0.428102046251297,0.7854533791542053,0.3573513329029083,0.2969360053539276,0.71498703956604,0.4180510342121124,0.3625190258026123,0.7502202093601227,0.3877011835575104,0.9999813601773513,0.17020034250212673
11,60_240,60,240,-0.03661777688725322,0.5842580199241638,0.7001655697822571,0.11590754985809326,0.5236001014709473,0.6346977353096008,0.11109763383865356,0.5539290606975555,0.667431652545929,0.11350259184837341,0.019454631954431534,0.20681124925613403,0.1873566173017025,0.006294046528637409,0.09561903029680252,0.08932498376816511,0.012874339241534472,0.15121513977646828,0.1383408005349338,0.9999730417310828,0.17954371426368554
23,60_240,60,240,-0.047791848620444104,0.6201618313789368,0.8278663158416748,0.20770448446273804,0.5790098309516907,0.7783687710762024,0.19935894012451172,0.5995858311653137,0.8031175434589386,0.20353171229362488,0.10236307233572006,0.5758379101753235,0.4734748378396034,0.0935649499297142,0.4912335276603699,0.39766857773065567,0.09796401113271713,0.5335357189178467,0.43557170778512955,0.9999695764840372,0.18364927451791596
37,60_240,60,240,-0.05417093006535635,0.7013720870018005,0.8829542994499207,0.18158221244812012,0.6255789399147034,0.8427320718765259,0.2171531319618225,0.663475513458252,0.8628431856632233,0.1993676722049713,0.3061731159687042,0.7603938579559326,0.4542207419872284,0.17821869254112244,0.7020321488380432,0.5238134562969208,0.24219590425491333,0.7312130033969879,0.4890170991420746,0.9999809081568735,0.1835502079132229
41,60_240,60,240,-0.04561713607965552,0.6212067604064941,0.8067116737365723,0.18550491333007812,0.5463775992393494,0.7345409393310547,0.18816334009170532,0.5837921798229218,0.7706263065338135,0.18683412671089172,0.17066502571105957,0.5652493834495544,0.3945843577384949,0.15369847416877747,0.443777859210968,0.29007938504219055,0.16218174993991852,0.5045136213302612,0.3423318713903427,0.9999838307535098,0.18486452993796884
5,240_400,240,400,-0.04484609707297485,0.8749794363975525,0.9097504615783691,0.03477102518081665,0.8304962515830994,0.8746267557144165,0.04413050413131714,0.8527378439903259,0.8921886086463928,0.039450764656066895,0.7854533791542053,0.8763155937194824,0.0908622145652771,0.71498703956604,0.7944186925888062,0.07943165302276611,0.7502202093601227,0.8353671431541443,0.0851469337940216,0.9999847192495178,0.19103959746727803
11,240_400,240,400,-0.053460420362718836,0.7001655697822571,0.8380714654922485,0.13790589570999146,0.6346977353096008,0.7821369767189026,0.14743924140930176,0.667431652545929,0.8101042211055756,0.1426725685596466,0.20681124925613403,0.6940127611160278,0.4872015118598938,0.09561903029680252,0.5947561264038086,0.4991370961070061,0.15121513977646828,0.6443844437599182,0.49316930398344994,0.999985186867074,0.18181801450795743
23,240_400,240,400,-0.04423908518013911,0.8278663158416748,0.8913723230361938,0.06350600719451904,0.7783687710762024,0.8514469265937805,0.07307815551757812,0.8031175434589386,0.8714096248149872,0.06829208135604858,0.5758379101753235,0.7866386771202087,0.21080076694488525,0.4912335276603699,0.7149107456207275,0.22367721796035767,0.5335357189178467,0.7507747113704681,0.21723899245262146,0.9999811695331883,0.19249688085244074
37,240_400,240,400,-0.054630639594995464,0.8829542994499207,0.9114120006561279,0.028457701206207275,0.8427320718765259,0.8825761675834656,0.0398440957069397,0.8628431856632233,0.8969940841197968,0.034150898456573486,0.7603938579559326,0.8477410078048706,0.08734714984893799,0.7020321488380432,0.7639145851135254,0.06188243627548218,0.7312130033969879,0.805827796459198,0.07461479306221008,0.9999849349860187,0.19990262391679783
41,240_400,240,400,-0.051027511627260644,0.8067116737365723,0.8880612254142761,0.08134955167770386,0.7345409393310547,0.8389298915863037,0.10438895225524902,0.7706263065338135,0.8634955585002899,0.09286925196647644,0.5652493834495544,0.8083035349845886,0.24305415153503418,0.443777859210968,0.7427765130996704,0.2989986538887024,0.5045136213302612,0.7755400240421295,0.2710264027118683,0.9999866181322609,0.193411362700959
5,400_700,400,700,-0.08941232848783866,0.9097504615783691,0.9240150451660156,0.014264583587646484,0.8746267557144165,0.8942039012908936,0.01957714557647705,0.8921886086463928,0.9091094732284546,0.016920864582061768,0.8763155937194824,0.8744177222251892,-0.0018978714942932129,0.7944186925888062,0.7817243337631226,-0.012694358825683594,0.8353671431541443,0.8280710279941559,-0.007296115159988403,0.9999889217024609,0.2087892592292049
11,400_700,400,700,-0.08412461254313694,0.8380714654922485,0.8792446255683899,0.04117316007614136,0.7821369767189026,0.8400784134864807,0.057941436767578125,0.8101042211055756,0.8596615195274353,0.04955729842185974,0.6940127611160278,0.8060649037361145,0.11205214262008667,0.5947561264038086,0.6884968280792236,0.09374070167541504,0.6443844437599182,0.7472808659076691,0.10289642214775085,0.9999899873317281,0.19870209069708972
23,400_700,400,700,-0.08804629298365312,0.8913723230361938,0.9192215204238892,0.027849197387695312,0.8514469265937805,0.8893143534660339,0.03786742687225342,0.8714096248149872,0.9042679369449615,0.032858312129974365,0.7866386771202087,0.859874427318573,0.07323575019836426,0.7149107456207275,0.7655187249183655,0.05060797929763794,0.7507747113704681,0.8126965761184692,0.0619218647480011,0.9999869964795416,0.20595942629938443
37,400_700,400,700,-0.09600998208821733,0.9114120006561279,0.9241083860397339,0.012696385383605957,0.8825761675834656,0.8935259580612183,0.010949790477752686,0.8969940841197968,0.9088171720504761,0.011823087930679321,0.8477410078048706,0.8525395393371582,0.004798531532287598,0.7639145851135254,0.7403250932693481,-0.023589491844177246,0.805827796459198,0.7964323163032532,-0.009395480155944824,0.9999887988421458,0.21867296258191382
41,400_700,400,700,-0.06973507718200071,0.8880612254142761,0.9159842729568481,0.02792304754257202,0.8389298915863037,0.8842363357543945,0.04530644416809082,0.8634955585002899,0.9001103043556213,0.03661474585533142,0.8083035349845886,0.8649265170097351,0.056622982025146484,0.7427765130996704,0.7626441717147827,0.019867658615112305,0.7755400240421295,0.8137853443622589,0.038245320320129395,0.9999894576673624,0.20183533798739461
5,700_1000,700,1000,-0.07563754636098659,0.9240150451660156,0.931943416595459,0.00792837142944336,0.8942039012908936,0.9037160873413086,0.009512186050415039,0.9091094732284546,0.9178297519683838,0.0087202787399292,0.8744177222251892,0.8642603158950806,-0.010157406330108643,0.7817243337631226,0.7683150768280029,-0.013409256935119629,0.8280710279941559,0.8162876963615417,-0.011783331632614136,0.9999885184248891,0.21155385378437133
11,700_1000,700,1000,-0.0672447827095788,0.8792446255683899,0.897544264793396,0.018299639225006104,0.8400784134864807,0.8615588545799255,0.021480441093444824,0.8596615195274353,0.8795515596866608,0.019890040159225464,0.8060649037361145,0.8056070804595947,-0.0004578232765197754,0.6884968280792236,0.6747503280639648,-0.013746500015258789,0.7472808659076691,0.7401787042617798,-0.007102161645889282,0.9999894337930683,0.21183098337480957
23,700_1000,700,1000,-0.07747812356500727,0.9192215204238892,0.9251294136047363,0.005907893180847168,0.8893143534660339,0.8941044211387634,0.004790067672729492,0.9042679369449615,0.9096169173717499,0.00534898042678833,0.859874427318573,0.8505825996398926,-0.00929182767868042,0.7655187249183655,0.7377097606658936,-0.027808964252471924,0.8126965761184692,0.7941461801528931,-0.018550395965576172,0.9999889803466866,0.21045456558285947
37,700_1000,700,1000,-0.05832588226913047,0.9241083860397339,0.9231299757957458,-0.0009784102439880371,0.8935259580612183,0.8939884901046753,0.00046253204345703125,0.9088171720504761,0.9085592329502106,-0.00025793910026550293,0.8525395393371582,0.8408825397491455,-0.011656999588012695,0.7403250932693481,0.7235140800476074,-0.016811013221740723,0.7964323163032532,0.7821983098983765,-0.014234006404876709,0.9999878188954627,0.2222582858731753
41,700_1000,700,1000,-0.06675409247304073,0.9159842729568481,0.9165273308753967,0.000543057918548584,0.8842363357543945,0.8846312761306763,0.0003949403762817383,0.9001103043556213,0.9005793035030365,0.00046899914741516113,0.8649265170097351,0.8190565705299377,-0.04586994647979736,0.7626441717147827,0.6984304189682007,-0.06421375274658203,0.8137853443622589,0.7587434947490692,-0.0550418496131897,0.9999873798991559,0.21294287348459595
5,1000_1200,1000,1200,-0.04278695651820382,0.931943416595459,0.9338158369064331,0.001872420310974121,0.9037160873413086,0.9053061008453369,0.0015900135040283203,0.9178297519683838,0.919560968875885,0.0017312169075012207,0.8642603158950806,0.858772337436676,-0.005487978458404541,0.7683150768280029,0.7513996958732605,-0.01691538095474243,0.8162876963615417,0.8050860166549683,-0.011201679706573486,0.9999916177361557,0.21605827032472855
11,1000_1200,1000,1200,-0.03884358538866623,0.897544264793396,0.902213454246521,0.004669189453125,0.8615588545799255,0.8690919876098633,0.007533133029937744,0.8795515596866608,0.8856527209281921,0.006101161241531372,0.8056070804595947,0.8012644052505493,-0.00434267520904541,0.6747503280639648,0.6729368567466736,-0.0018134713172912598,0.7401787042617798,0.7371006309986115,-0.003078073263168335,0.9999883502253577,0.21593651573077452
23,1000_1200,1000,1200,-0.04410139453197727,0.9251294136047363,0.9220008850097656,-0.003128528594970703,0.8941044211387634,0.8920636773109436,-0.0020407438278198242,0.9096169173717499,0.9070322811603546,-0.0025846362113952637,0.8505825996398926,0.8350697755813599,-0.015512824058532715,0.7377097606658936,0.720501184463501,-0.017208576202392578,0.7941461801528931,0.7777854800224304,-0.016360700130462646,0.9999892568107726,0.2097735427248804
37,1000_1200,1000,1200,-0.038414171084915016,0.9231299757957458,0.9218735098838806,-0.0012564659118652344,0.8939884901046753,0.892668604850769,-0.00131988525390625,0.9085592329502106,0.9072710573673248,-0.0012881755828857422,0.8408825397491455,0.833012580871582,-0.007869958877563477,0.7235140800476074,0.7081137895584106,-0.015400290489196777,0.7821983098983765,0.7705631852149963,-0.011635124683380127,0.9999821682307956,0.2235750405958372
41,1000_1200,1000,1200,-0.04014557435627737,0.9165273308753967,0.9179937839508057,0.0014664530754089355,0.8846312761306763,0.8831846714019775,-0.0014466047286987305,0.9005793035030365,0.9005892276763916,9.924173355102539e-06,0.8190565705299377,0.8166855573654175,-0.0023710131645202637,0.6984304189682007,0.6807601451873779,-0.017670273780822754,0.7587434947490692,0.7487228512763977,-0.010020643472671509,0.9999845180139864,0.21658410847947426
5,1200_1490,1200,1490,-0.04317473836000961,0.9338158369064331,0.9300919771194458,-0.0037238597869873047,0.9053061008453369,0.9014847278594971,-0.0038213729858398438,0.919560968875885,0.9157883524894714,-0.0037726163864135742,0.858772337436676,0.8408828973770142,-0.017889440059661865,0.7513996958732605,0.7257298231124878,-0.025669872760772705,0.8050860166549683,0.783306360244751,-0.021779656410217285,0.9999863343781964,0.22225340776954147
11,1200_1490,1200,1490,-0.05848011186470701,0.902213454246521,0.9055503010749817,0.0033368468284606934,0.8690919876098633,0.873013436794281,0.003921449184417725,0.8856527209281921,0.8892818689346313,0.003629148006439209,0.8012644052505493,0.7939370274543762,-0.007327377796173096,0.6729368567466736,0.6693097949028015,-0.0036270618438720703,0.7371006309986115,0.7316234111785889,-0.005477219820022583,0.9999844175576228,0.21986649114095683
23,1200_1490,1200,1490,-0.053272168484075594,0.9220008850097656,0.9225197434425354,0.0005188584327697754,0.8920636773109436,0.8934808969497681,0.0014172196388244629,0.9070322811603546,0.9080003201961517,0.0009680390357971191,0.8350697755813599,0.8288896679878235,-0.006180107593536377,0.720501184463501,0.7094776034355164,-0.01102358102798462,0.7777854800224304,0.7691836357116699,-0.008601844310760498,0.9999857553153328,0.21966428119212886
37,1200_1490,1200,1490,-0.03409658288208143,0.9218735098838806,0.9237492680549622,0.001875758171081543,0.892668604850769,0.8935692310333252,0.0009006261825561523,0.9072710573673248,0.9086592495441437,0.0013881921768188477,0.833012580871582,0.827716588973999,-0.005295991897583008,0.7081137895584106,0.7019729018211365,-0.00614088773727417,0.7705631852149963,0.7648447453975677,-0.005718439817428589,0.9999842985923921,0.22669876252351515
