label,act,r_t,x,seed,change,secant,peak
ReLU rt4 e2.0,relu,4,0.08,223,-0.03661979377269864,-9.154948443174659e-06,0.0015384411563548635
ReLU rt4 e2.0,relu,4,0.08,227,-0.02078869679159101,-5.197174197897753e-06,0.001574901377902515
ReLU rt4 e2.0,relu,4,0.08,229,-0.03377362007095508,-8.44340501773877e-06,0.001543555985681705
ReLU rt4 e2.0,relu,4,0.08,233,-0.028032416456530096,-7.0081041141325236e-06,0.0014925584941585122
ReLU rt4 e2.0,relu,4,0.08,239,-0.036103902490986384,-9.025975622746596e-06,0.0015778424323128315
ReLU rt4 e2.0,relu,4,0.08,241,-0.026889750843656857,-6.7224377109142145e-06,0.0015079842120969238
ReLU rt4 e2.0,relu,4,0.08,251,-0.023453274343778197,-5.8633185859445495e-06,0.0015080485878399786
ReLU rt4 e2.0,relu,4,0.08,257,-0.04745995402841896,-1.186498850710474e-05,0.0016302269380305623
ReLU rt4 e2.0,relu,4,0.08,263,-0.030679762260052867,-7.669940565013218e-06,0.0016928278525511881
ReLU rt4 e2.0,relu,4,0.08,269,-0.02624457123270918,-6.561142808177295e-06,0.0016042408736481278
ReLU rt4 e2.0,relu,4,0.08,271,-0.013064128871777214,-3.2660322179443037e-06,0.0015185733293402552
ReLU rt4 e2.0,relu,4,0.08,277,-0.031409950051560664,-7.852487512890167e-06,0.0016083953702189068
ReLU rt4 e2.0,relu,4,0.08,281,-0.038926406734976604,-9.731601683744151e-06,0.001550140075014875
ReLU rt4 e2.0,relu,4,0.08,283,-0.02771529962205188,-6.9288249055129704e-06,0.001546725784928026
ReLU rt4 e2.0,relu,4,0.08,293,-0.030852317641944293,-7.713079410486073e-06,0.0014570325194940492
ReLU rt4 e2.0,relu,4,0.08,307,-0.027833952961063835,-6.958488240265959e-06,0.001406396119002591
ReLU rt4 e2.0,relu,4,0.08,311,-0.03727784899936504,-9.319462249841259e-06,0.001555944273845633
ReLU rt4 e2.0,relu,4,0.08,313,-0.025868750182120426,-6.467187545530107e-06,0.001452849828960822
ReLU rt6 e1.5,relu,6,0.12,5,0.020440968120897796,5.1102420302244485e-06,0.0014361045467682098
ReLU rt6 e1.5,relu,6,0.12,11,0.01602754476879864,4.0068861921996605e-06,0.0010210807390994042
ReLU rt6 e1.5,relu,6,0.12,23,0.01413159345051862,3.532898362629655e-06,0.0015443866129760315
ReLU rt6 e1.5,relu,6,0.12,37,0.01386098803461222,3.465247008653055e-06,0.001382574347899666
ReLU rt6 e1.5,relu,6,0.12,41,0.01589681150380562,3.974202875951405e-06,0.001330098880972639
ReLU rt6 e1.5,relu,6,0.12,53,0.019945265795909495,4.986316448977374e-06,0.0012253069108760753
ReLU rt6 e1.5,relu,6,0.12,67,0.03213678222873817,8.034195557184542e-06,0.0015408813253428263
ReLU rt6 e1.5,relu,6,0.12,71,0.014778280789249698,3.6945701973124247e-06,0.000612328875399062
ReLU rt6 e1.5,relu,6,0.12,83,0.016732241265318692,4.183060316329673e-06,0.0013832935430589436
ReLU rt6 e1.5,relu,6,0.12,97,0.0015904100585975023,3.9760251464937556e-07,0.000804564868148867
ReLU rt6 e1.5,relu,6,0.12,101,0.028095760062939457,7.023940015734864e-06,0.0013106675432604164
ReLU rt6 e1.5,relu,6,0.12,103,0.022940350455741276,5.735087613935319e-06,0.0010395049795992896
ReLU rt6 e1.5,relu,6,0.12,107,0.024396012445965343,6.099003111491335e-06,0.0010913480944746263
ReLU rt6 e1.5,relu,6,0.12,109,0.015228380759344962,3.8070951898362402e-06,0.0009534317518130335
ReLU rt6 e1.5,relu,6,0.12,113,0.012510888160339628,3.127722040084907e-06,0.0010098733416844556
ReLU rt6 e1.5,relu,6,0.12,127,0.004477682586365717,1.119420646591429e-06,0.0006951137796035659
ReLU rt6 e1.5,relu,6,0.12,131,0.006326425416266379,1.5816063540665948e-06,0.0007650317096441175
ReLU rt6 e1.5,relu,6,0.12,137,0.01897595111873407,4.743987779683517e-06,0.0013670414587222976
ReLU rt6 e1.5,relu,6,0.12,139,0.007137311117860978,1.7843277794652446e-06,0.0006223058852372549
ReLU rt6 e1.5,relu,6,0.12,149,0.03155031627539273,7.887579068848183e-06,0.0005977295674446167
ReLU rt6 e1.5,relu,6,0.12,151,0.027178977139941107,6.794744284985277e-06,0.0011783019023589181
ReLU rt6 e1.5,relu,6,0.12,157,0.01952528875827153,4.881322189567882e-06,0.00128048443529272
ReLU rt6 e1.5,relu,6,0.12,163,0.016553268164738455,4.1383170411846135e-06,0.0008357918059260183
ReLU rt6 e1.5,relu,6,0.12,167,0.023777232896815548,5.944308224203887e-06,0.0006258525241163694
ReLU rt6 e1.5,relu,6,0.12,173,0.023610783789053347,5.902695947263337e-06,0.0009398568966291325
ReLU rt6 e1.5,relu,6,0.12,179,0.015413415043951662,3.853353760987915e-06,0.0006678846076537117
ReLU rt6 e1.5,relu,6,0.12,181,0.01565275261246768,3.91318815311692e-06,0.00092115261611428
ReLU rt6 e1.5,relu,6,0.12,191,0.024584267502428703,6.146066875607176e-06,0.0010294778048513748
ReLU rt6 e1.5,relu,6,0.12,193,0.025853490356543163,6.463372589135791e-06,0.0010076171084974102
ReLU rt6 e1.5,relu,6,0.12,197,0.016797428990577568,4.199357247644392e-06,0.0015912973146316393
ReLU rt6 e1.5,relu,6,0.12,199,0.018016036766659083,4.5040091916647705e-06,0.0012685971002409165
ReLU rt6 e1.5,relu,6,0.12,211,0.014372952373889358,3.5932380934723396e-06,0.0011157912251316454
ReLU rt6 e1.5,relu,6,0.12,223,0.014839263257907298,3.7098158144768245e-06,0.0013983411798364175
ReLU rt6 e1.5,relu,6,0.12,227,0.025448497965869232,6.362124491467308e-06,0.0004824500053080921
ReLU rt6 e1.5,relu,6,0.12,229,0.010412480951335068,2.603120237833767e-06,0.0010947993630238341
ReLU rt6 e1.5,relu,6,0.12,233,0.007278410454826578,1.8196026137066446e-06,0.000911301721604241
ReLU rt6 e1.5,relu,6,0.12,239,0.025330945861246956,6.3327364653117394e-06,0.001269219319610027
ReLU rt6 e1.5,relu,6,0.12,241,0.023510441524079106,5.877610381019776e-06,0.0008817839478057248
ReLU rt6 e1.5,relu,6,0.12,251,0.02258072162916791,5.645180407291978e-06,0.0007030851687279252
ReLU rt6 e1.5,relu,6,0.12,257,0.04760490599457534,1.1901226498643836e-05,0.0006010216267097419
ReLU rt6 e1.5,relu,6,0.12,263,0.006177180329570264,1.544295082392566e-06,0.001522449044865203
ReLU rt6 e1.5,relu,6,0.12,269,0.025521263267643035,6.380315816910759e-06,0.0009549920499887399
ReLU rt6 e1.5,relu,6,0.12,271,0.005044281197007172,1.261070299251793e-06,0.0008444823876351986
ReLU rt6 e1.5,relu,6,0.12,277,0.02253127983526193,5.632819958815483e-06,0.0013346631575422738
ReLU rt6 e1.5,relu,6,0.12,281,0.04791402941023726,1.1978507352559314e-05,0.0005651063931706097
ReLU rt6 e1.5,relu,6,0.12,283,0.02040678122642048,5.10169530660512e-06,0.0009654524907488957
ReLU rt6 e1.5,relu,6,0.12,293,0.017717255143515076,4.429313785878769e-06,0.0009235241136269146
ReLU rt6 e1.5,relu,6,0.12,307,0.019827172985693364,4.956793246423341e-06,0.00154156270247484
ReLU rt6 e1.5,relu,6,0.12,311,0.02721268929250975,6.803172323127438e-06,0.001282081691898918
ReLU rt6 e1.5,relu,6,0.12,313,0.026182410718370686,6.545602679592671e-06,0.0004789590123973131
ReLU rt8 e1.5,relu,8,0.16,5,0.1908575311721915,4.7714382793047874e-05,0.0003832253459853601
ReLU rt8 e1.5,relu,8,0.16,11,0.18859356763775748,4.7148391909439366e-05,0.0005321261294898011
ReLU rt8 e1.5,relu,8,0.16,23,0.11668396407057524,2.917099101764381e-05,0.0012010125426526888
