config_id,label,width,learning_rate,head_multiplier,seed,loss_change,mean_even_start,mean_even_end,mean_even_gain,mean_odd_start,mean_odd_end,mean_odd_gain,mean_phaseavg_start,mean_phaseavg_end,mean_phaseavg_gain,min_even_start,min_even_end,min_even_gain,min_odd_start,min_odd_end,min_odd_gain,min_phaseavg_start,min_phaseavg_end,min_phaseavg_gain,rho2,r2
C5_w60_e060_h100,"$r_s=60,\ \eta=0.60,\ h=1.00$",60,0.6,1.0,227,-0.037235211040911126,0.5069757103919983,0.8635067939758301,0.3565310835838318,0.4478914141654968,0.8170372843742371,0.36914587020874023,0.47743356227874756,0.8402720391750336,0.362838476896286,0.07225779443979263,0.781858503818512,0.7096007093787193,0.023369301110506058,0.7148210406303406,0.6914517395198345,0.047813547775149345,0.7483397722244263,0.7005262244492769,0.9999870848211906,0.14934886302846445
C5_w60_e060_h100,"$r_s=60,\ \eta=0.60,\ h=1.00$",60,0.6,1.0,229,-0.024818838068306294,0.49923500418663025,0.6677477359771729,0.1685127317905426,0.4263084828853607,0.6052025556564331,0.1788940727710724,0.4627717435359955,0.636475145816803,0.1737034022808075,0.00575464591383934,0.0854831412434578,0.07972849532961845,0.0009714480838738382,0.022512653842568398,0.02154120575869456,0.003363046998856589,0.053997897543013096,0.05063485054415651,0.9999886354345107,0.15632235154486418
C5_w60_e060_h100,"$r_s=60,\ \eta=0.60,\ h=1.00$",60,0.6,1.0,233,-0.04349902069460717,0.5251380205154419,0.8434052467346191,0.31826722621917725,0.47842901945114136,0.7987228631973267,0.3202938437461853,0.5017835199832916,0.8210640549659729,0.3192805349826813,0.029328104108572006,0.6857881546020508,0.6564600504934788,0.02513233572244644,0.6196780800819397,0.5945457443594933,0.027230219915509224,0.6527331173419952,0.625502897426486,0.9999905076260761,0.16476832833983915
C5_w60_e060_h100,"$r_s=60,\ \eta=0.60,\ h=1.00$",60,0.6,1.0,239,-0.03305553903767805,0.5581602454185486,0.8245382308959961,0.2663779854774475,0.5167334675788879,0.7299733757972717,0.2132399082183838,0.5374468564987183,0.7772558033466339,0.23980894684791565,0.05275631323456764,0.5605954527854919,0.5078391395509243,0.021574001759290695,0.26182985305786133,0.24025585129857063,0.03716515749692917,0.41121265292167664,0.37404749542474747,0.9999892570088871,0.15948578131220068
C5_w60_e060_h100,"$r_s=60,\ \eta=0.60,\ h=1.00$",60,0.6,1.0,241,-0.03186953271207591,0.48809823393821716,0.8270560503005981,0.338957816362381,0.3951015770435333,0.7723265886306763,0.37722501158714294,0.44159990549087524,0.7996913194656372,0.35809141397476196,0.00773662282153964,0.6614183187484741,0.6536816959269345,0.025036295875906944,0.611236572265625,0.5862002763897181,0.016386459348723292,0.6363274455070496,0.6199409861583263,0.9999925613508213,0.15732997030783816
C5_w60_e060_h100,"$r_s=60,\ \eta=0.60,\ h=1.00$",60,0.6,1.0,251,-0.03011681667755051,0.5559999942779541,0.841464638710022,0.28546464443206787,0.469830185174942,0.7830222249031067,0.3131920397281647,0.5129150897264481,0.8122434318065643,0.29932834208011627,0.2484167069196701,0.7384281754493713,0.49001146852970123,0.09293314814567566,0.6404120922088623,0.5474789440631866,0.17067492753267288,0.6894201338291168,0.5187452062964439,0.999988891642677,0.1541094574543419
C5_w60_e060_h100,"$r_s=60,\ \eta=0.60,\ h=1.00$",60,0.6,1.0,257,-0.0332559948841193,0.5608463883399963,0.7753761410713196,0.21452975273132324,0.478469580411911,0.6617173552513123,0.18324777483940125,0.5196579843759537,0.7185467481613159,0.19888876378536224,0.005667909048497677,0.5365993976593018,0.5309314886108041,0.021661151200532913,0.3000831604003906,0.2784220091998577,0.013664530124515295,0.4183412790298462,0.4046767489053309,0.9999908096354498,0.15419568893335303
C5_w60_e060_h100,"$r_s=60,\ \eta=0.60,\ h=1.00$",60,0.6,1.0,263,-0.010252283707043282,0.5731388926506042,0.8030965328216553,0.22995764017105103,0.5276485085487366,0.6951531767845154,0.1675046682357788,0.5503937005996704,0.7491248548030853,0.19873115420341492,0.0487009696662426,0.5433359146118164,0.4946349449455738,0.002606587018817663,0.2715890407562256,0.2689824537374079,0.02565377834253013,0.407462477684021,0.38180869934149086,0.999982650224591,0.15182349728620495
C5_w60_e060_h100,"$r_s=60,\ \eta=0.60,\ h=1.00$",60,0.6,1.0,269,-0.012783420318707155,0.6036344170570374,0.8070102334022522,0.20337581634521484,0.532490611076355,0.7050646543502808,0.17257404327392578,0.5680625140666962,0.7560374438762665,0.1879749298095703,0.044526439160108566,0.5350131988525391,0.4904867596924305,0.017145328223705292,0.26830703020095825,0.25116170197725296,0.03083588369190693,0.40166011452674866,0.37082423083484173,0.9999849550954186,0.1554287269247114
C5_w60_e060_h100,"$r_s=60,\ \eta=0.60,\ h=1.00$",60,0.6,1.0,271,-0.019712638770525582,0.5094294548034668,0.8045557141304016,0.2951262593269348,0.46272701025009155,0.7349492311477661,0.27222222089767456,0.4860782325267792,0.7697524726390839,0.2836742401123047,0.07247380167245865,0.6510398387908936,0.5785660371184349,0.06345561891794205,0.5297406911849976,0.4662850722670555,0.06796471029520035,0.5903902649879456,0.5224255546927452,0.9999914545588604,0.15958081940089971
