L_late_med,L_late_n,L_late_q1,L_late_q3,L_late_sd,M,basis,cm0_med,cm0_n,cm0_q1,cm0_q3,cm0_sd,cm_end_med,cm_end_n,cm_end_q1,cm_end_q3,cm_end_sd,d_mean_plat_med,d_mean_plat_n,d_mean_plat_q1,d_mean_plat_q3,d_mean_plat_sd,d_min_plat_med,d_min_plat_n,d_min_plat_q1,d_min_plat_q3,d_min_plat_sd,eta,gap_sat_med,gap_sat_n,gap_sat_q1,gap_sat_q3,gap_sat_sd,gid,high_amplitude,mean_end_med,mean_end_n,mean_end_q1,mean_end_q3,mean_end_sd,n_diverged,n_seeds,p,r_s,r_t,ratio_med,ratio_n,ratio_q1,ratio_q3,ratio_sd,rho2_med,rho2_n,rho2_q1,rho2_q3,rho2_sd,s_band_med,s_band_n,s_band_q1,s_band_q3,s_band_sd,source,t50_med,t50_n,t50_q1,t50_q3,t50_sd,t_plateau_med,t_plateau_n,t_plateau_q1,t_plateau_q3,t_plateau_sd,t_sat_med,t_sat_n,t_sat_q1,t_sat_q3,t_sat_sd,tau_V_sq_med,tau_V_sq_n,tau_V_sq_q1,tau_V_sq_q3,tau_V_sq_sd,teacher,verdict
6.141731212305214,50,6.122266476660576,6.167695823672048,0.04992521223396536,50,"mean cos2 reached 99% of final at t=620, before the plateau formed at t=2178, so the plateau gain is ~0 by construction (-0.014); from t_sat onward cos2=0.900 is fixed while the loss stays 2699.0x the feature-limited optimum; large-amplitude cycle: 50/50 seeds Lbar>5 but 1-rho2=4e-07 -- locked, not divergent",0.0010972918231874325,50,0.0001762172660557867,0.002623504827752242,0.002940765982083278,0.6584765435738853,50,0.6338731473941295,0.671344725246235,0.02707644373628183,-0.014311485050603923,50,-0.016898333965798235,-0.010713127071139361,0.00528319036693097,-0.06508891985367066,50,-0.07915650075032593,-0.05215475230102298,0.02053302033873442,2.0,2699.029168884797,50,2311.563455584725,3048.701164876087,639.8672015406156,R1,True,0.9002833578781353,50,0.8945596355721348,0.9042128503332809,0.006842504930116402,50,50,100,50,4,3027.5425681990628,50,2499.7664651217756,3718.956242248826,1740.0961788013003,0.999999579761203,50,0.9999995049484218,0.9999996577553578,1.2413106766689005e-07,0.0028125,50,0.0025,0.0032142857142857142,0.0004417895992499385,paper grid,320.0,50,300.0,340.0,39.795395077668914,2178.0,50,2096.5,2281.5,147.07271004784104,620.0,50,560.0,680.0,114.84434896761756,0.15404909657543697,50,0.14335865081761723,0.16180696013133966,0.01631087315240066,relu,"saturates early, gap persists"
3.505669812548395,50,3.461163837720069,3.573121221599349,0.06839382725804787,50,"1-rho2=3e-08, L/L_V_opt=218.8, plateau gains dmean=+0.389 / dmin=+0.930",0.0006457393280658477,50,0.00025502012799712766,0.0017116950125979234,0.002125915060580914,0.9568109806165436,50,0.951636051968665,0.9597398438846121,0.004914947020165966,0.3890434917213259,50,0.34099154268358156,0.43216687769054274,0.12024885936843688,0.930053734225718,50,0.8722100812344338,0.9468621154903114,0.256503583567295,1.5,202.15327605072974,50,148.27629555496162,267.0447949245517,93.96907210166462,R2,False,0.9761982453389322,50,0.9743409642752938,0.9782052434423533,0.002722360275805866,0,50,100,50,6,218.7629147239574,50,159.18799222927237,295.6084911996961,94.42407046977355,0.9999999749489801,50,0.9999999456407698,0.9999999929425589,4.2000322689727635e-08,0.0007767857142857142,50,0.000576923076923077,0.0011842105263157896,0.0004909422677926786,paper grid,1310.0,50,1180.0,1480.0,272.7124522874837,501.0,50,501.0,501.0,1886.3224668596808,4820.0,50,4620.0,5135.0,428.9339419195131,0.12944028786743209,50,0.11845230125051362,0.1403141892727592,0.016756930397418407,relu,clean plateau-with-learning
3.7862299461531475,50,3.776801773307053,3.7984384820767874,0.01581281298422196,50,"1-rho2=1e-10, L/L_V_opt=38.4, plateau gains dmean=+0.461 / dmin=+0.896",0.0004994766541175189,50,7.964672566979844e-05,0.0012091249996479458,0.001915002861883537,0.9080948503255837,50,0.8995848382804986,0.9151593989049438,0.011607943744154768,0.4609687240937123,50,0.44564008047173825,0.4826393815347966,0.03191120712093311,0.8959397963573423,50,0.8733093840787554,0.9096885745383116,0.025247037996194373,1.5,39.364810234172666,50,37.731458901917875,42.55833595765631,3.983988399180803,R3,False,0.9464695534561316,50,0.9421266762759029,0.9486249914255271,0.004125792947557376,0,50,100,50,8,38.439111982766946,50,36.910220409283454,41.243377143053166,3.8875342602240295,0.9999999998835818,50,0.9999999998794529,0.9999999998889888,7.367017204036079e-12,0.0003103595890410959,50,0.00021586134453781513,0.0005666208791208792,0.0004657794587365498,paper grid,2920.0,50,2595.0,3195.0,434.50295318505096,501.0,50,501.0,501.0,0.0,6790.0,50,6595.0,6880.0,184.10334276249995,0.21940330466137709,50,0.20481767914204152,0.23302396205397663,0.022069883187814394,relu,clean plateau-with-learning
1.7145660323682197,50,1.7106529930741836,1.7177744011839708,0.0060208917756261245,50,"1-rho2=1e-10, L/L_V_opt=13.7, plateau gains dmean=+0.343 / dmin=+0.816",0.0004994766541175189,50,7.964672566979844e-05,0.0012091249996479458,0.001915002861883537,0.856447002759843,50,0.831517384572185,0.8795731778842212,0.033760366790139,0.3430673318234861,50,0.3110003921006237,0.3655120755278646,0.036855541548601815,0.815575825408656,50,0.7660168428391574,0.8467791958731269,0.055006199737199724,1.0,14.107231983834097,50,13.151828028822726,15.058077431148199,1.5234038482082577,R4,False,0.9318622909806944,50,0.9254221656549324,0.9370156332520106,0.007340408219002974,0,50,100,50,8,13.651188204964843,50,12.836791567332632,14.719234587109248,1.5022187396178037,0.9999999999423023,50,0.9999999999389564,0.9999999999458511,5.9303737413597035e-12,0.00017110513532269257,50,0.0001447357320622601,0.00031142979452054793,0.00037107963391582496,paper top-6,3540.0,50,2965.0,4280.0,941.9178004779095,505.0,50,505.0,506.0,0.7284313590846836,7070.0,50,6935.0,7250.0,224.1358917246046,0.1874068093037858,50,0.16920441761309984,0.20397781985028243,0.020529938936700333,relu,clean plateau-with-learning
2.6437840318198944,50,2.6360920643697847,2.651712843206166,0.010054806896059003,50,"1-rho2=1e-10, L/L_V_opt=25.6, plateau gains dmean=+0.409 / dmin=+0.841",0.0004994766541175189,50,7.96467256697989e-05,0.0012091249996479458,0.001915002861883537,0.8619158574725269,50,0.8432066330730122,0.8791867767223329,0.024026934341550676,0.4090442181160367,50,0.3825781209334955,0.43188478004072467,0.040346046361128325,0.8413979422604796,50,0.8096872212921784,0.8602037907310552,0.03411739623682101,1.25,26.12812610252493,50,24.12083689161211,27.340733227527455,3.155176354544852,R10,False,0.9272117588414851,50,0.9248765407513101,0.9345552570866158,0.006302329174249997,0,50,100,50,8,25.612083812535168,50,23.767337525795433,26.877011238891654,3.086675240472962,0.9999999999243467,50,0.9999999999206202,0.9999999999269198,5.755363242059269e-12,0.00021964285714285716,50,0.0001607392452244137,0.0004000234962406015,0.00036301840471071394,paper top-6,3720.0,50,3210.0,4115.0,643.4124585650598,502.0,50,502.0,502.0,0.0,7110.0,50,7040.0,7220.0,173.20790857185688,0.20697229791994484,50,0.19201181930774314,0.22130340567775708,0.02368369331523798,relu,clean plateau-with-learning
1.4125022331536912,50,1.4071690375979435,1.416632570823869,0.006513207757500734,30,"1-rho2=1e-10, L/L_V_opt=16.0, plateau gains dmean=+0.401 / dmin=+0.823",0.00044826713175318163,50,8.05983442621311e-05,0.0014542751839014257,0.001578626947592076,0.8379888068007643,50,0.8189422091404153,0.8525809110106665,0.04205856656369422,0.4007588722213318,50,0.38335880455954124,0.4272526746399562,0.03702096830626933,0.8226804216759641,50,0.7936588973039109,0.8361222123496275,0.04597474697953348,1.5,16.22914196935477,50,14.445372390325215,19.182398089586727,3.9823260066239383,R5,False,0.9305729885033148,50,0.9249847135536713,0.9378652883344043,0.010244768487923245,0,50,100,30,8,15.977592607811356,50,14.17041314024858,18.89899299507203,3.880547681178352,0.999999999924338,50,0.9999999999188444,0.9999999999292755,7.685248635239646e-12,0.0001931366047745358,50,0.0001590165995975855,0.0002777777777777778,0.0004344905801308519,paper top-6,4350.0,50,3820.0,5170.0,990.1992378366309,559.0,50,553.0,566.0,9.36341120467082,7240.0,50,7145.0,7375.0,207.95760949515355,0.26349542541879856,50,0.24165317667834718,0.27860147802655416,0.0239404046687623,relu,clean plateau-with-learning
9.418857016777189,50,9.35312986526648,9.471974469934207,0.08187694694061012,80,"1-rho2=1e-09, L/L_V_opt=187.1, plateau gains dmean=+0.370 / dmin=+0.928; large-amplitude cycle: 50/50 seeds Lbar>5 but 1-rho2=1e-09 -- locked, not divergent",0.00026264620304817463,50,9.108000219334017e-05,0.0007167523614874183,0.002373855167183182,0.9439357224769999,50,0.9385742235721248,0.9491185289758265,0.007114305317019693,0.3697585754758993,50,0.34632159228183945,0.40745760217716165,0.044932119728902375,0.9282095797834251,50,0.9094798013814611,0.9421529454802224,0.045385897724798174,1.5,176.6521945127098,50,156.2860000957848,192.04954793779183,24.01976431879357,R11,True,0.9691026139160017,50,0.9682093263207378,0.9704758806804822,0.002303713131539536,50,50,100,80,8,187.1032512771039,50,162.12745649177,197.82925024078958,26.401999176979633,0.9999999986487824,50,0.999999995797914,0.999999999113042,4.84829774976156e-09,0.0006824448529411764,50,0.0004976617795753287,0.0011694078947368423,0.000525639017231969,paper grid,1490.0,50,1340.0,1675.0,311.84742475532903,500.0,50,500.0,500.0,0.0,5150.0,50,4930.0,5280.0,278.8887569901487,0.07858710969438183,50,0.07123659281898871,0.08885000911660444,0.011873362916927435,relu,clean plateau-with-learning
3.8146811021048515,50,3.804824073302632,3.824593010583995,0.01466941554589197,50,"1-rho2=1e-10, L/L_V_opt=20.1, plateau gains dmean=+0.289 / dmin=+0.827",0.000460571589572299,50,7.052298106518128e-05,0.0010012369592732303,0.0009951515458261144,0.8629905978053223,50,0.8511374639018663,0.8704387530275262,0.01564525638875915,0.2890684693335294,50,0.2717211993839369,0.3127226433521114,0.027478679460931063,0.8267505181781161,50,0.7837802559861486,0.8492532642289349,0.06224808523050534,1.5,20.36269931635483,50,19.074680256801013,22.360644987896006,2.934119409950682,R12,False,0.9271680877390228,50,0.9241210866948547,0.9305639960109946,0.005124416514335905,0,50,100,50,10,20.126328393167714,50,18.750044583288027,21.98258640326591,2.8559820346993248,0.9999999999448035,50,0.9999999999422885,0.9999999999466965,3.6204092214521503e-12,0.00020270270270270272,50,0.00016515279442205034,0.0002694897236002835,0.00020762592820601982,paper top-6,3060.0,50,2725.0,3350.0,481.61225830219354,503.0,50,503.0,503.0,0.1414213562373095,6860.0,50,6760.0,6980.0,152.2087717711487,0.2824762489025199,50,0.264519677067631,0.2975395354003627,0.025625315173599755,relu,clean plateau-with-learning
3.518932399340306,50,3.498748417744761,3.5445112017869085,0.038012213151980064,50,"1-rho2=1e-10, L/L_V_opt=23.3, plateau gains dmean=+0.056 / dmin=+0.309",0.0002801741718483947,50,5.323207181937278e-05,0.0009082639640213137,0.0011858396993130514,0.8255546402023823,50,0.7792395538842243,0.8547584609989272,0.08286950053344867,0.0564161472446969,50,0.045801211851455054,0.07952036846754623,0.021816628859179968,0.30934617319902535,50,0.23722843639191918,0.5278472046987377,0.2062009349291717,1.5,23.259736343395016,50,22.532156851108283,24.00978981799461,1.110244855537765,R6,False,0.9354595296191519,50,0.9309224775059289,0.9390010970966052,0.011909322978058873,0,50,100,50,12,23.260836809305374,50,22.462820528753813,23.999713962465584,1.0988782882485495,0.9999999999427613,50,0.999999999936626,0.9999999999507159,9.493892153967721e-12,0.0009578804347826087,50,0.00020797413793103447,0.0030357142857142857,0.0019039888909718004,paper top-6,470.0,50,150.0,2380.0,2158.2193718764684,510.0,50,504.0,517.75,9.584511314764939,5450.0,50,4995.0,6030.0,876.3929786695147,0.32930176864018623,50,0.3161774008125832,0.35177586000559913,0.027667456958301324,relu,clean plateau-with-learning
2.444570934833985,50,2.4393148363925015,2.449729880333101,0.009736148271487827,50,"1-rho2=3e-10, L/L_V_opt=26.3, plateau gains dmean=+0.268 / dmin=+0.686",0.0002943563478987121,50,6.80329788690917e-05,0.0009471932910590538,0.0009235600923761678,0.9243329065594168,50,0.919716899902698,0.9281995987176281,0.006856900999865763,0.2682539269993911,50,0.24384975795222447,0.29540183099951295,0.034990989900037274,0.6862709153997583,50,0.6028035078657369,0.8476858732111006,0.160509650852972,1.5,26.512592851230913,50,24.134651648182054,28.138142620784024,3.6985156713829968,R13,False,0.9485456399749606,50,0.9473016656396828,0.9501587135317451,0.002478097827263257,0,50,150,50,8,26.332065398896496,50,24.04390268006768,28.149792532036948,3.6551732008165674,0.9999999997418881,50,0.9999999997312513,0.9999999997511697,1.485950013198383e-11,0.0006818181818181819,50,0.0005522103658536586,0.0008913461538461538,0.0004112929175790847,paper top-6,890.0,50,800.0,1020.0,209.21661462879734,502.0,50,502.0,502.0,0.0,5600.0,50,5425.0,5780.0,249.38291187387694,0.38249661468067264,50,0.3614391196412018,0.39204223759308493,0.0278506753181055,relu,clean plateau-with-learning
